ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.102	53	10.0.0.103	56612	dnscat.7541012b761a274be426220051a91af878	dnscat.7541012b761a274be426220051a91af878
10.0.0.103	56612	10.0.0.102	53	dnscat.29f0012b7635a38f600e18005225a07193	
10.0.0.102	53	10.0.0.103	56612	dnscat.29f0012b7635a38f600e18005225a07193	dnscat.29f0012b7635a38f600e18005225a07193
10.0.0.103	56612	10.0.0.102	53	dnscat.60d2012b76570eeebab5ee005379a79a29	
10.0.0.102	53	10.0.0.103	56612	dnscat.60d2012b76570eeebab5ee005379a79a29	dnscat.60d2012b76570eeebab5ee005379a79a29
10.0.0.103	56612	10.0.0.102	53	dnscat.28d7012b7626ba2ea73fe30054a33527c9	
10.0.0.102	53	10.0.0.103	56612	dnscat.28d7012b7626ba2ea73fe30054a33527c9	dnscat.28d7012b7626ba2ea73fe30054a33527c9
10.0.0.103	56612	10.0.0.102	53	dnscat.1164012b7618f8a04fa2ed00553aba5cbe	
10.0.0.102	53	10.0.0.103	56612	dnscat.1164012b7618f8a04fa2ed00553aba5cbe	dnscat.1164012b7618f8a04fa2ed00553aba5cbe
10.0.0.103	56612	10.0.0.102	53	dnscat.630e012b7675c21dc70ad100566e1f579d	
10.0.0.102	53	10.0.0.103	56612	dnscat.630e012b7675c21dc70ad100566e1f579d	dnscat.630e012b7675c21dc70ad100566e1f579d
10.0.0.103	56612	10.0.0.102	53	dnscat.40b4012b76b9a59f6f48a6005744837064	
10.0.0.102	53	10.0.0.103	56612	dnscat.40b4012b76b9a59f6f48a6005744837064	dnscat.40b4012b76b9a59f6f48a6005744837064
10.0.0.103	56612	10.0.0.102	53	dnscat.7151012b76dd59494b1f6f0058afbf7401	
10.0.0.102	53	10.0.0.103	56612	dnscat.7151012b76dd59494b1f6f0058afbf7401	dnscat.7151012b76dd59494b1f6f0058afbf7401
10.0.0.103	56612	10.0.0.102	53	dnscat.0ad4012b764f28c65d7c030059b06ddea3	
10.0.0.102	53	10.0.0.103	56612	dnscat.0ad4012b764f28c65d7c030059b06ddea3	dnscat.0ad4012b764f28c65d7c030059b06ddea3
10.0.0.103	56612	10.0.0.102	53	dnscat.1259012b76e1504206573b005a2f28ebea	
10.0.0.102	53	10.0.0.103	56612	dnscat.1259012b76e1504206573b005a2f28ebea	dnscat.1259012b76e1504206573b005a2f28ebea
10.0.0.103	56612	10.0.0.102	53	dnscat.3751012b7613ed7d417422005b563121b1	
10.0.0.102	53	10.0.0.103	56612	dnscat.3751012b7613ed7d417422005b563121b1	dnscat.3751012b7613ed7d417422005b563121b1
10.0.0.103	56612	10.0.0.102	53	dnscat.6b4f012b763db61c10b756005c32078085	
10.0.0.102	53	10.0.0.103	56612	dnscat.6b4f012b763db61c10b756005c32078085	dnscat.6b4f012b763db61c10b756005c32078085
10.0.0.103	56612	10.0.0.102	53	dnscat.6d64012b7692746998e6d7005d374baf30	
10.0.0.102	53	10.0.0.103	56612	dnscat.6d64012b7692746998e6d7005d374baf30	dnscat.6d64012b7692746998e6d7005d374baf30
10.0.0.103	56612	10.0.0.102	53	dnscat.7837012b76bb045383592c005ef8d7a6da	
10.0.0.102	53	10.0.0.103	56612	dnscat.7837012b76bb045383592c005ef8d7a6da	dnscat.7837012b76bb045383592c005ef8d7a6da
10.0.0.103	56612	10.0.0.102	53	dnscat.45c7012b7644e1a86c6f55005fcae19d0c	
10.0.0.102	53	10.0.0.103	56612	dnscat.45c7012b7644e1a86c6f55005fcae19d0c	dnscat.45c7012b7644e1a86c6f55005fcae19d0c
10.0.0.103	56612	10.0.0.102	53	dnscat.3995012b760f43c96abb4e0060b644e073	
10.0.0.102	53	10.0.0.103	56612	dnscat.3995012b760f43c96abb4e0060b644e073	dnscat.3995012b760f43c96abb4e0060b644e073
10.0.0.103	56612	10.0.0.102	53	dnscat.71d1012b768ec77c91bd4000610a4d5726	
10.0.0.102	53	10.0.0.103	56612	dnscat.71d1012b768ec77c91bd4000610a4d5726	dnscat.71d1012b768ec77c91bd4000610a4d5726
10.0.0.103	56612	10.0.0.102	53	dnscat.5f07012b76d0eec05a8498006209a33d09	
10.0.0.102	53	10.0.0.103	56612	dnscat.5f07012b76d0eec05a8498006209a33d09	dnscat.5f07012b76d0eec05a8498006209a33d09
10.0.0.103	56612	10.0.0.102	53	dnscat.62d2012b76439adf38b62f0063f35a1937	
10.0.0.102	53	10.0.0.103	56612	dnscat.62d2012b76439adf38b62f0063f35a1937	dnscat.62d2012b76439adf38b62f0063f35a1937
10.0.0.103	56612	10.0.0.102	53	dnscat.4685012b768d8206fc3471006415ec74d3	
10.0.0.102	53	10.0.0.103	56612	dnscat.4685012b768d8206fc3471006415ec74d3	dnscat.4685012b768d8206fc3471006415ec74d3
10.0.0.103	56612	10.0.0.102	53	dnscat.4df6012b767635f6ea13f000655e8a2f96	
10.0.0.102	53	10.0.0.103	56612	dnscat.4df6012b767635f6ea13f000655e8a2f96	dnscat.4df6012b767635f6ea13f000655e8a2f96
10.0.0.103	56612	10.0.0.102	53	dnscat.367f012b7638e698ba20ba006617fb9052	
10.0.0.102	53	10.0.0.103	56612	dnscat.367f012b7638e698ba20ba006617fb9052	dnscat.367f012b7638e698ba20ba006617fb9052
10.0.0.103	56612	10.0.0.102	53	dnscat.6813012b763ed021524f430067c88241ba	
10.0.0.102	53	10.0.0.103	56612	dnscat.6813012b763ed021524f430067c88241ba	dnscat.6813012b763ed021524f430067c88241ba
10.0.0.103	56612	10.0.0.102	53	dnscat.4d1e012b766cb3d739dd8500681a475934	
10.0.0.102	53	10.0.0.103	56612	dnscat.4d1e012b766cb3d739dd8500681a475934	dnscat.4d1e012b766cb3d739dd8500681a475934
10.0.0.103	56612	10.0.0.102	53	dnscat.122f012b76d424b829f86800696df92ff3	
10.0.0.102	53	10.0.0.103	56612	dnscat.122f012b76d424b829f86800696df92ff3	dnscat.122f012b76d424b829f86800696df92ff3
10.0.0.103	56612	10.0.0.102	53	dnscat.4947012b76386d493accbd006a459f8a7c	
10.0.0.102	53	10.0.0.103	56612	dnscat.4947012b76386d493accbd006a459f8a7c	dnscat.4947012b76386d493accbd006a459f8a7c
10.0.0.103	56612	10.0.0.102	53	dnscat.3a9f012b7618b8362d752b006b82e43ae2	
10.0.0.102	53	10.0.0.103	56612	dnscat.3a9f012b7618b8362d752b006b82e43ae2	dnscat.3a9f012b7618b8362d752b006b82e43ae2
